compound	SE23-01B
nC11	1.2939
nC12	26.2621
nC13	102.7584
nC14	194.5253
nC15	227.3327
nC16	232.4902
nC17	270.7555
Pristane	83.3554
nC18	217.8863
Phytane	63.7421
nC19	221.3759
10-Me-C19	35.3914
nC20	195.5629
nC21	193.2561
nC22	173.7459
nC23	170.8126
nC24	162.5723
nC25	158.3352
nC26	125.5453
nC27	115.371
nC28	107.8441
nC29	97.2437
nC30	84.1626
nC31	70.1928
nC32	49.4514
nC33	40.2243
nC34	40.7985
nC35	28.5919
nC36	16.4872
nC37	14.4437
nC38	12.2431
nC39	10.9875
nC40	8.5537
nC41	7.9388
nC42	7.4087
